,jobportal,url,directapply,salary,jobtitle,jobopeningdate,contractduration,company,city
0,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0BmgHj8b9RlIjsw0JlqLxeEtGuOxd2fbhScYXMt4rfS4GPqGz7A0Dh2_HVHN4z4C7jVoBymTmRSFLNqGm4D2PGYSSz3deZJGDGEh0o8Xi1r17gPKpE5DVNq7UiCtc1A1BB-Cefwak-TwbcbRRz_qJt4DqsOBQEUxR3qoPwrkUlzR4xAB2II-HECrqrkz6EVsMO5t8HPzbKAmAPQxrarHRUQx4H71mggXKzLP3x5xLQTU6Q7QfY6ekjrQio_8W01hOTuh_dTcPkZYDAqYoKaaCrUQPE0qIWu0Br3XScYIVZzF04UQk1YbRKCrLRWTycEVJM9MqmzLJVkers4qIe5QBD2NjHVHShJgkToW4FwdyCwBNJv0owidjxLjW5uxEiRNnHTV_dvle1nRN1TK-_ENf4ZONojx8uywqqIFqCXIqSynN7VyHTysJi4JRyujgu1YKZ17hcPOKwh06w_9pK8WWnEUUBgwc53CfWoWvd312GYsuFMMEWKx7rONfKM4Wen5lmNx6izo_4sN6BgHHQFQqBlPNM55K74Q6Nt2SqcBI-IFnGyWn_peYc59TfDWhRizakV0pUTAAFCkqofmW91LWMSMzqi4ENvgs5Eaz7dbj4PIjr47KYhda2cCrgGlVh_l8j5RCnu8lpP2NjA5d4sRKTtfApR_tR2HCwTLg7Kyod0JpLPPjPkSBCjwqO43yKBK90=&xkcb=SoD0-_M3Sa-9m431CJ0LbzkdCdPP&p=0&fvj=0&vjs=3,,,Entwicklungsingenieur Maschinenbau (m/w/d),,,,
1,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0CTWydWHS4MSQsmD-lqZ91c4a7BU9TT6hIVpnK-tMqWq-MqOQ5cznfT-iKGQUywShbSuG-V0-tCd4OffAM1dwUgZMx-AHfORdNJfTcXWpEeP06ekps78QqhayEf-NYP17VQVJz6ygflWY_jBP1YrcX77Pf7niT1G4zkl1PipOGYTo1JU2_YfXIDj-eW7jxdEzLSeZ_qVEpy1Vgm3dCchU8ELGNzaPTgGoX4gRICMbwJy5m4T-sMA3bs_GFY3GeDdvAxp9V6TLcKBRJ_EWYRx_S6rdsUweuuaGtFsnedHuMBqsyS0yVOj0L6g3ca-KLnEmLTkNnjJCodkqVsPL8iotA4roE1ZNfzPADdgArUWEy7HyMI22RCyUgOyXDnRBhw2aOZgalypjbW6Svpvy7Uh5CbTXacGtYPElnVUojiH-7wFBWhnLRb7wXanDEZKX0qAAtmHX4SBKjbGPSEDkVptOJQk89GsbE2tYbYqlWxT1ykvPo9PNYAPtIUj9BK1JZxxqMadCJneg-CjWbDYlme_708EPNU6nI6WLBJZbAqDA0CnzUDtKmQb18OXcb7ZH934Z17nvHclM3afzp6Pt2dJPXXJv0iPpNMtrynm2H8i25sOpV9RmoI-89LroXgbJR5yOR5Q4M9FmLfHBkneLhOkg3UV3C6XO7SURYz0haMPpOWnAxBFy6bJXdgFdcTJkG19aE=&xkcb=SoBA-_M3Sa-9m431CJ0KbzkdCdPP&p=1&fvj=0&vjs=3,,55.000 € – 75.000 € pro Jahr,Entwicklungsingenieur m/w/d,19,,,
2,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0Cn_ML5WgaGs7Xony5QsAdDyiKYDoDjLRCsWA4jE50zSD-AuEeQEXxs7FUWQ7zPkSuKCw9NFkmDFLLTchj6-2EL378Qzo2c2j-RQVtenhMm7NgPcJlTmbJzxktHRqbMDxsD85FegVUDpb8Igok8MrP3Zk8NCLT8Q_RwlCIHXLHgbje2tZt50uNGiR1dYi8WqTFhGQ30EuNDQ56r2E4fe9GkrwDFSYrvAXdQmfbHK7xZImHpjCL9HDB__wauND5TcwhEyRVOYDmXQL_atNyDdDX1l5YUWW6f_ALQEKJgIS-m2EscTcyWMcNAjODFhnKaO8i0E8JaqCmYa0j8_gu3VnFbkftbaNsGhdkaGQ4-0N2Wo1R2ki57e07gruV8kQk6TJ0-qGtB_JXKpiJbHHITiG1R6NMcOKb5rk3oL8BcS8NoVc8A5D88cVqyy0JO4oKdujzqG_xxelbTgW4wPk6P7oWKNoU9aIIUYKj-ovyNekAcgxVUbAy1kxqVx98lvQfZHVWVDCZaaOFQWEHYDbBJRYzhe8FM7BUhXpv22LlHEghR0Ogmwau1OTBEK8hJVD-Ru2DNvunO_jyhdiPCWsnc3RYB2XiDQWiL5_VXf5I0AFr-23jdN8dlblw2sf0BvE-dfDkMIBEWT4eNlw==&xkcb=SoCt-_M3Sa-9m7X1CJ0LbzkdCdPP&p=2&fvj=0&vjs=3,,70.000 € – 90.000 € pro Jahr,Entwicklungsingenieur für Leistungselektronik (m/w/d),23,Vollzeit,,
3,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0BmgHj8b9RlIjsw0JlqLxeEtGuOxd2fbhScYXMt4rfS4GPqGz7A0Dh2_HVHN4z4C7jVoBymTmRSFFGhgPsMj5dHXLum-15FXpqIQ5FsGGKQBnrFIf-g_b5hCdW1LqNaqzg5PlgrEzidRdoyg79p4cVrbIveTrfW25x_lXDYMlIzDLD8AVesVTSDo8Rl9fplt8l1HG5uJv0ZGOAPLsmMWz34P2BwtheTcUsDSDdQJNtjNY4lUbRfLEIdAYjH7s1Zjj2AkaiCMNFIB9oR2XWMmyyimk3W-i0hYJvSuP1A3UqAl9blLxFatRls9xjrFzgb1Z1M0LIyyPKjIQWddd506X4K4n_Io7yXqKx3K11sj9Kxz6H_-_nq-5WEvCzBbLQhyg78CdZngIaNWmdQs4e5iG2nzGVi8Q1gWznl38huZtVqe9lcsAUCKnTlpnU3a9pxu4EHnrpRG9QChCfxLy0mQCP_fuR0PewwwW-NDjVmcRuPE1dBaN1W_9haMlAl5DxK8yAokFWh30T-YkqX7J6oVoyEsA62VgMQFqglyBk2UwfRAgw0Fw02vMqqnczmlZk7p-2jtAGtjntJL9dS0ZYNSWi3so3snCu_S5TF3GhzF7KD-e2i6J-psTUyx0qK7qlGbNuJhm9AXxEqzBTdljMGsN9uHL_4GpoC2mpYnIT6RAIz6x4vQ2FmYMjGlrhooSDWYCQ=&xkcb=SoCX-_M3Sa-9m7X1CJ0NbzkdCdPP&p=3&fvj=0&vjs=3,,,Entwicklungsingenieur Elektrotechnik (m/w/d),,Festanstellung,,
4,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0CkCsbnT_LGxu_SlXn6UTOYrzJlx-EQzBayPPEPvYEukHUyGimKfQGd1oidFnDR2v9q5eVoQHjBUpIWfl4SiOhCvUGWDj7G62N916N8dKzuvbkuoqVKKpwbX18se6MmO2Blo2lL7c-QxRu5DdLiOMXy8xJSiYvZ-0KvIVLuz9MyvshbLTBXZVCEUdcYYuwJ9VH1FL2qX8OsP0mzoWbCmLVDREPstE8XdAcJTz9twxS3DwwnH2EtSVEnYqAR-IGH5fmQtk3tWA8dIicI3Vg6PELb8t9-8_N3AFTcoZfYdJiBSRb9A0HatmvPj1H6qrnKlkrbVLCeA5oC6wrkOs-k4_3t0IY7GAzM0qUrGMMriXbaMRs6BsmIHeICCjW8eZM7NAQdF_sxhgqAjBb2gQbr1DcABDs6OqTNGUkYRWNwD3k-etQvo9ZcQO0v5SFH4biNxTucwiWhZwhXkkPyiZnWGMKuOBfUA30M3OWF7ssfjdtZWd8r5eFlYOnz2RUEL032L_TlUPjbNJ-VChsGvt6FgyFC2Uo61opNUq4rp-HnEasR3ZCVt4X1HMgMSCct9h6UAzhhjJv7eAfAxURwy_L7So8aRS93hh-uYQFimFLIKQxohTOrFST4jcymon_IEhrWT9ViqGRonObZhwDDXLIZohV9rtZ8en-RP1ZA6jTcaCNTSRmK6WnmsIGznXAP__hspgK8rbqTy3jBMth5q6HgOigwHfLJp0ceoHXL0saloPqLMNTI5tg6lkcNeyC4Iyuiq1e1Vvn_5XWVXNJPep2fchWzxqcY4NK5q_mZ052RsJo-KwLhzb80oj0ll4tk3sXmdGZA1gcLE9ZvLs20ebjFqXhy0z_ljtP0p6Fxdwa91X83tP0T0zzmn0HohyfbznMnVcM5-_AFdITZjB7kWK7AxyAv4lCh59BlJ0AuuFmay7TdePsvqOD7eAry&xkcb=SoDo-_M3Sa-9m731CJ0LbzkdCdPP&p=4&fvj=0&vjs=3,,,Entwicklungsingenieur Elektrotechnik - Leistungselektronik (m/w/d),,Vollzeit,,
5,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0ChywVUK72lEG7nslo4DlG4WRPNC3v-wutfY57w8ahKqvB-uxlb49sOESiiJ3ttxUqOkPlOFeUi2whwBjqByqTmfGcWc-iqgtCU43ABFBkWzuidljB4QjnUfvt961aERDd4vE64RXYBYwfMJ624R-haJTqpuOOc5vJWxq_gRPX-kAAlMpiBMqmt_K0eeoN7DZZOb-yCuL2V17haKjtcCfe-mUIeIlG5cm8xzknONtGoAeHaBV3AogyHYw2BurYCA1rEiMKXaWNphcwp9a2DqPo1BPEQgS5DA6f8ongJjiTgG_Y_jjmyJpsusf2YDlhHkDn0tWnDYzzujMnNKbvuVutWPJFKIDDB6OZBJcm2LhIO5hptd_ncHthnW9-BjFJHH-7io9A7IWtS0nP0x_Wvv83PfyAbud02YKC_fXFIoljIGlILoHgklrthMuhLzKFZqBYO1xxfequI8mLvm7NcR1pn28e9vEbOW1JEfob0fbbbFG3bDKGWDS9jl-5BFcO619v2NzP3KG2O3YqIhxEBAbR51n-PscXk6Y0-yUQ5R2ud9Hc2jIdEV41h7BxSZwNjXGt6MB5T6rZvwNN7ioeuq93JcZieLQSHyB9tSrKCXYcT3LOF-IcPdbT3nPSKyjhkCa8=&xkcb=SoBc-_M3Sa-9m731CJ0KbzkdCdPP&p=5&fvj=0&vjs=3,,,Entwicklungsingenieur (m/w/d) - Research & Development,25,,,
6,indeed,https://indeed.de/company/Holter-Regelarmaturen/jobs/Entwicklungsingenieur-88300e6a178aa5c7?fccid=94d57ac511fb797f&vjs=3,,,Entwicklungsingenieur / Ingenieur Strukturmechanik (m/w/d),6,Festanstellung,,
7,indeed,https://indeed.de/pagead/clk?mo=r&ad=-6NYlbfkN0DCbu4gKh6WbnhzZEuutmtc23bTh810gvq4Msa94gipMig37TB4iQsRb-iYbNW_W_yffnLNrdRHWQGmaVlA_lXdB9El3My5HVpYWbrX-aIKLzfy8hWRv_WOR0Z3ORj5F2im6DYTY6accLA9GBXP4dflNhbyn_CfOFMOfG2ABKgzEyx4seO68xQ6cGWjDbAOKt0Fu5wZBaoUyU23p9iybSPAd-fpSqYcbgTav-V5UNXYJltdeKowO3bRmg3xVl2_e4QgKRMbF9398_gRVqDtLB31-lCg7VLYMpQ0R1FjZlahD2lnwf3CliNCxOdoaE106EOGlfO4d3JpYaWSc5T1hml9tyVaQhvFv1S9_mIR5ceuJLzwrffPDy-uUhoad9mjQJ3Y93x9bjwwBx_2cxgupw-k1_cQjgwuYXE88uSdreL2Lj4aNTJStIVLzA-faf1-zZ_-HsdD1oO57nvnhCGsVcYo38X3dP7J-8xv30_tvsfWb8JCDfjEBaePejsO82eq1eZl-bjgaSglzlus5cIypgEOGhtwmGCVIlr2hAFM-YFJqnTqFlOtggmRnw1AkXslEM0=&xkcb=SoD7-_M3Sa-9m6X1CJ0IbzkdCdPP&p=7&fvj=1&vjs=3,,55.000 € – 72.000 € pro Jahr,Ingenieur für Automatisierungstechnik (m/w/d) in Krefeld,1,Festanstellung,,
8,indeed,https://indeed.de/rc/clk?jk=8e3cd33e8e472568&fccid=4bd6ecca8005325d&vjs=3,,,Entwicklungsingenieur (m/w/d) Landschafts- & Freiraumplanung,6,Vollzeit,,
